source_paper,original_path,local_path,format,conversion_status,slide_usage,notes
Paper A,D:\Mara PhD\Paper A\RelativeErrorsTable4_Bermudan_N=40_GlobalPolynomials2.eps,Figures\PaperA\RelativeErrorsTable4_Bermudan_N=40_GlobalPolynomials2.pdf,pdf,converted from eps,Slide 8,"Bermudan Heston relative errors, 40 exercise dates"
Paper A,D:\Mara PhD\Paper A\RelativeErrorsTable4_Bermudan_N=60_GlobalPolynomials2.eps,Figures\PaperA\RelativeErrorsTable4_Bermudan_N=60_GlobalPolynomials2.pdf,pdf,converted from eps,Slide 8,"Bermudan Heston relative errors, 60 exercise dates"
Paper A,D:\Mara PhD\Paper A\accuracy_difference2x.eps,Figures\PaperA\accuracy_difference2x.pdf,pdf,converted from eps,Slide 9,"Accuracy difference: Euler relative error minus AES relative error"
Paper A,D:\Mara PhD\Paper A\computation_time_difference2x.eps,Figures\PaperA\computation_time_difference2x.pdf,pdf,converted from eps,Slide 9,"Computation time difference when Euler uses twice as many steps"
Paper A,D:\Mara PhD\Paper A\memory_usage_difference2x.eps,Figures\PaperA\memory_usage_difference2x.pdf,pdf,converted from eps,Slide 9,"Memory usage difference when Euler uses twice as many steps"
Paper A,D:\Mara PhD\Paper A\RelativeErrorsTable2_GlobalPolynomials2.eps,Figures\PaperA\RelativeErrorsTable2_GlobalPolynomials2.pdf,pdf,converted from eps,Backup slide 29,"American Heston relative errors, Feller condition holds"
Paper A,D:\Mara PhD\Paper A\RelativeErrorsTable4_GlobalPolynomials2.eps,Figures\PaperA\RelativeErrorsTable4_GlobalPolynomials2.pdf,pdf,converted from eps,Backup slide 29,"American Heston relative errors, Feller condition does not hold"
Paper A,D:\Mara PhD\Paper A\relative_errors_S0_90.eps,Figures\PaperA\relative_errors_S0_90.pdf,pdf,converted from eps,Available asset not used,"Biweekly Bermudan relative errors, in the money"
Paper A,D:\Mara PhD\Paper A\relative_errors_S0_100.eps,Figures\PaperA\relative_errors_S0_100.pdf,pdf,converted from eps,Available asset not used,"Biweekly Bermudan relative errors, at the money"
Paper A,D:\Mara PhD\Paper A\relative_errors_S0_110_be.eps,Figures\PaperA\relative_errors_S0_110_be.pdf,pdf,converted from eps,Available asset not used,"Biweekly Bermudan relative errors, out of the money"
Paper B,D:\Mara PhD\Paper B\images\ATM vanilla.png,Figures\PaperB\atm_vanilla.png,png,replaced from updated local image 2026-06-03,Slide 15,"American vanilla put relative errors; exact table percentages need QA before quoting"
Paper B,D:\Mara PhD\Paper B\images\ITM vanilla.png,Figures\PaperB\itm_vanilla.png,png,replaced from updated local image 2026-06-03,Available asset not used,"American vanilla put relative errors, in the money"
Paper B,D:\Mara PhD\Paper B\images\Forward swap.png,Figures\PaperB\forward_swap.png,png,replaced from updated local image 2026-06-03,Slide 16,"Forward volatility swap; analytical benchmark available"
Paper B,D:\Mara PhD\Paper B\images\basket option.png,Figures\PaperB\basket_option.png,png,copied,Slide 17,"Basket option stability across runs; shows stability rather than benchmark accuracy"
Paper B,D:\Mara PhD\Paper B\images\Barrier ITM.png,Figures\PaperB\barrier_itm.png,png,replaced from updated local image 2026-06-03,Backup slide 32,"Barrier put relative errors, in the money"
Paper B,D:\Mara PhD\Paper B\images\Barrier ATM.png,Figures\PaperB\barrier_atm.png,png,replaced from updated local image 2026-06-03,Backup slide 32,"Barrier put relative errors, at the money"
Paper C,D:\Mara PhD\Paper C\Figures\path_sweep_steps60_direct_relative_error.pdf,Figures\PaperC\path_sweep_steps60_direct_relative_error.pdf,pdf,copied,Slide 23,"Main Paper C path-sweep evidence"
Paper C,D:\Mara PhD\Paper C\Figures\path_sweep_steps48_direct_relative_error.pdf,Figures\PaperC\path_sweep_steps48_direct_relative_error.pdf,pdf,copied,Backup slide 34,"Additional Paper C path-sweep evidence"
Paper C,D:\Mara PhD\Paper C\Figures\step_sweep_20k_direct_relative_error.pdf,Figures\PaperC\step_sweep_20k_direct_relative_error.pdf,pdf,copied,Slide 24,"Paper C step-sweep evidence at 20k paths"
Paper C,D:\Mara PhD\Paper C\Figures\step_sweep_60k_direct_relative_error.pdf,Figures\PaperC\step_sweep_60k_direct_relative_error.pdf,pdf,copied,Backup slide 35,"Additional Paper C step-sweep evidence at 60k paths"
