kind,source_path,destination_path,sha256,settings,notes
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k70_benchmark.csv,9aae962dc684aa9493a6587adb60252ed641630b651e18d87ede88b0414eb254,48 steps; reported path grid,benchmark plot data for K=70
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k70_hybrid.csv,d588815bb537398efe6170888d5384401bb6f6d94e2df3bd05713debf3b0a27b,48 steps; reported path grid,hybrid plot data for K=70
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k80_benchmark.csv,5f40be760dd73e2c408b162f3d5855930ba4245b861e5123d894112bbc6f5e2a,48 steps; reported path grid,benchmark plot data for K=80
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k80_hybrid.csv,1fc8bde975c8be99e8e381f0e0e867bc95bf46acae5682ffe44aa23dc84fb37d,48 steps; reported path grid,hybrid plot data for K=80
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k90_benchmark.csv,4070e2afb6e432c1b345bfa22cac93518717920d7bddf08e024a08efa4478096,48 steps; reported path grid,benchmark plot data for K=90
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k90_hybrid.csv,f6d2a52aa395bcb8c06b0a0a7b7158602db1b054a79476e698a9b7d61f5979a4,48 steps; reported path grid,hybrid plot data for K=90
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k100_benchmark.csv,aba4355b5ef649806a421a4e23e9369d7cb28e26703d998c2c3e2e580d5a2d40,48 steps; reported path grid,benchmark plot data for K=100
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k100_hybrid.csv,8dfc737d3aaecf036fffedb47dd34f53ce7273afd644b4403a2e4ffedf3519dd,48 steps; reported path grid,hybrid plot data for K=100
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k110_benchmark.csv,fa4b3ef092decd837308d257831a637509637f09fc1b5b919ab60c119a8b6ebd,48 steps; reported path grid,benchmark plot data for K=110
plot_data,Raw data/bgk_r02_calibrated_t1_nex12/reference_values/path_sweep/bgk_r02_calibrated_t1_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,Raw data/bgk_r02_calibrated_t1_nex12/plot_data/bgk_r02_calibrated_t1_nex12_path_sweep_steps48_k110_hybrid.csv,63b415a710f619ce89dabd5b5d2700ff9a7964fa810a239959a6c333388852fa,48 steps; reported path grid,hybrid plot data for K=110
