scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,60000,benchmark,2026,2103,1000,0.491334500002,2.522851,2.717602959252,0.034115486325,0.133732706396,0.077195188797,0.050690907253,0.103699470341,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,60000,hybrid,2026,2103,1000,116.5677665,2.522851,2.721070960969,0.006489923570,0.025440500396,0.078569824761,0.073527810707,0.083611838815,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,60000,benchmark,2026,2103,1000,0.620403100002,2.522851,2.612287696089,0.032540653013,0.127559359810,0.035450645357,0.010169849977,0.060731440737,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,60000,hybrid,2026,2103,1000,114.2845469,2.522851,2.584752429937,0.006533757218,0.025612328295,0.024536300375,0.019460232011,0.029612368739,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,60000,benchmark,2026,2103,1000,0.782382099998,2.522851,2.578570483661,0.032528215587,0.127510605102,0.022085919327,0.000000000000,0.047357052086,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,60000,hybrid,2026,2103,1000,128.4916514,2.522851,2.556746001905,0.006624721005,0.025968906341,0.013435197681,0.008288459657,0.018581935705,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,60000,benchmark,2026,2103,1000,0.879077699996,2.522851,2.533204455603,0.032156754671,0.126054478310,0.004103871217,0.000000000000,0.029086416422,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,60000,hybrid,2026,2103,1000,132.1697762,2.522851,2.542742622708,0.006580725639,0.025796444505,0.007884580860,0.002772022785,0.012997138936,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,60000,benchmark,2026,2103,1000,0.471830100003,4.298933,4.531392257827,0.044375789644,0.173953095405,0.054073710343,0.033841585837,0.074305834850,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,60000,hybrid,2026,2103,1000,122.5007268,4.298933,4.546597783030,0.010000858869,0.039203366765,0.057610756676,0.053051094224,0.062170419128,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
