scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,250,benchmark,2026,2103,250,0.177621700001,10.682037,13.772542421662,1.215603310078,0.289317985105,0.066272278771,0.512363691440,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,250,hybrid,2026,2103,250,1.0545211,10.682037,11.761187416734,0.329181817204,0.101024778021,0.040624653801,0.161424902240,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,500,benchmark,2026,2103,500,0.171534699999,10.682037,12.183671481546,0.739877327576,0.140575667501,0.004818829920,0.276332505083,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,500,hybrid,2026,2103,500,1.9257666,10.682037,11.120371237451,0.227734822558,0.041034705033,0.000000000000,0.082820766270,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,1000,benchmark,2026,2103,1000,0.175064399999,10.682037,11.672965142872,0.535516091605,0.092765840717,0.000000000000,0.191025333690,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,1000,hybrid,2026,2103,1000,3.7025342,10.682037,10.595804829276,0.161409660896,0.008072633593,0.000000000000,0.037688982549,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,2000,benchmark,2026,2103,1000,0.180183500001,10.682037,11.291900580751,0.368814406340,0.057092442270,0.000000000000,0.124764576005,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,2000,hybrid,2026,2103,1000,5.5469693,10.682037,10.420989096605,0.106729664639,0.024438026511,0.004854669639,0.044021383383,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,5000,benchmark,2026,2103,1000,0.202026700004,10.682037,11.026359479446,0.234137546054,0.032233784572,0.000000000000,0.075194653390,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,5000,hybrid,2026,2103,1000,10.8641721,10.682037,10.831143941929,0.071905548238,0.013958661810,0.000765028934,0.027152294686,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,10000,benchmark,2026,2103,1000,0.237968999994,10.682037,10.955306342839,0.159436654695,0.025582137830,0.000000000000,0.054836468554,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,10000,hybrid,2026,2103,1000,19.6174546,10.682037,10.604419240312,0.049530248019,0.007266194611,0.000000000000,0.016354282035,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,20000,benchmark,2026,2103,1000,0.300058000001,10.682037,10.909700693958,0.114168357532,0.021312760287,0.000364510364,0.042261010210,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,20000,hybrid,2026,2103,1000,37.5065292,10.682037,10.609574120129,0.035827459172,0.006783620003,0.000209797054,0.013357442953,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,40000,benchmark,2026,2103,1000,0.484822600003,10.682037,10.850123547919,0.078545755283,0.015735439591,0.001323424321,0.030147454860,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,40000,hybrid,2026,2103,1000,72.8370272,10.682037,10.666045260231,0.024559784230,0.001497068375,0.000000000000,0.006003435193,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,60000,benchmark,2026,2103,1000,0.601136699996,10.682037,10.823473728559,0.065297436008,0.013240613991,0.001259474572,0.025221753410,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,60000,hybrid,2026,2103,1000,108.0331662,10.682037,10.676808533707,0.020104753174,0.000489463414,0.000000000000,0.004178396172,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
