setting,scenario,S0,K,T,paths,low_paths,asset_points,asset_low_factor,asset_high_factor,vol_quantile,benchmark_direct_price,benchmark_direct_error,benchmark_low_price,benchmark_low_error,hybrid_direct_price,hybrid_direct_error,hybrid_low_price,hybrid_low_error,hybrid_direct_rel_error,hybrid_low_rel_error,hybrid_direct_low_gap
baseline_20k_181,ATM,100.0,100.0,1.0,20000,20000,181,0.35,3.0,0.997,11.371204,0.01659,11.348587,0.016578,11.2457816114811,0.03569275351224327,11.311579022203643,0.1126619106906158,0.011029824855740954,0.0032610207593559253,0.005850852612624954
baseline_20k_181,OTM put,100.0,90.0,1.0,20000,20000,181,0.35,3.0,0.997,7.426156,0.013741,7.406685,0.013738,7.295875649227773,0.026472778532974656,7.376273192211418,0.09235150592331337,0.017543443845271543,0.004105994488571157,0.011019587894450194
paths40k_grid181,ATM,100.0,100.0,1.0,40000,40000,181,0.35,3.0,0.997,11.371204,0.01659,11.348587,0.016578,11.362711428102102,0.024719504084269258,11.351279348399075,0.08348367316368753,0.0007468489614554726,0.00023724084761165577,-0.001006104905098068
paths40k_grid181,OTM put,100.0,90.0,1.0,40000,40000,181,0.35,3.0,0.997,7.426156,0.013741,7.406685,0.013738,7.402576983531136,0.018316630336160593,7.4252598687373075,0.06715195757622353,0.0031751307767926506,0.0025078518577888852,0.0030641876817539097
paths40k_grid241,ATM,100.0,100.0,1.0,40000,40000,241,0.35,3.0,0.997,11.371204,0.01659,11.348587,0.016578,11.36457702596318,0.024719451127946337,11.353291427377028,0.08347625393331964,0.0005827856079989321,0.00041453860088733977,-0.0009930504725665936
paths40k_grid241,OTM put,100.0,90.0,1.0,40000,40000,241,0.35,3.0,0.997,7.426156,0.013741,7.406685,0.013738,7.403555120508447,0.018317166498245788,7.426644826799444,0.06714688860063135,0.003043415663709878,0.0026948394321404502,0.003118732273234055
paths60k_grid241,ATM,100.0,100.0,1.0,60000,60000,241,0.35,3.0,0.997,11.371204,0.01659,11.348587,0.016578,11.347322972788328,0.020574081158224653,11.292775028428197,0.06658461085628685,0.0021001318076495933,0.004917966577848224,-0.004807120101449536
paths60k_grid241,OTM put,100.0,90.0,1.0,60000,60000,241,0.35,3.0,0.997,7.426156,0.013741,7.406685,0.013738,7.405782350212678,0.015303325434437505,7.391480924086889,0.054107698195705524,0.0027434987613136493,0.0020527504427569317,-0.0019311161805042579
paths60k_grid301,ATM,100.0,100.0,1.0,60000,60000,301,0.35,3.0,0.997,11.371204,0.01659,11.348587,0.016578,11.347210102642855,0.020574103710067116,11.293849239904768,0.0665906452849271,0.0021100577702366304,0.0048233106108480596,-0.004702553513630514
paths60k_grid301,OTM put,100.0,90.0,1.0,60000,60000,301,0.35,3.0,0.997,7.426156,0.013741,7.406685,0.013738,7.405220670306013,0.015303051597970222,7.392518942742042,0.0541141586682132,0.0028191341111049218,0.0019126042565545476,-0.0017152395761687277
paths60k_grid301_wide_q999,ATM,100.0,100.0,1.0,60000,60000,301,0.3,3.5,0.999,11.371204,0.01659,11.348587,0.016578,11.359836357069149,0.020646168545207986,11.320776351603028,0.06760801995166392,0.0009996868344681507,0.0024505824731283488,-0.003438430294096112
paths60k_grid301_wide_q999,OTM put,100.0,90.0,1.0,60000,60000,301,0.3,3.5,0.999,7.426156,0.013741,7.406685,0.013738,7.41477837670336,0.015361945160201753,7.402772234277927,0.055072366538334735,0.0015321013047180272,0.0005282748924887446,-0.001619217974626872
