paths,method,runtime_seconds,price_direct,se_direct,reference_direct_price,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct
250,benchmark,0.5721197000239044,14.103409,1.146073,11.356823,0.24184457220122202,0.04405130906768542,0.4396378353347586
250,hybrid,1.2656010000500828,12.57716091672828,0.32311162880760247,11.356823,0.10745416360968905,0.051690435279776674,0.16321789193960143
500,benchmark,0.20469009992666543,12.60083,0.747838,11.356823,0.10953829253128272,0.0,0.23860277473726588
500,hybrid,2.290444300044328,12.15539593312005,0.22272179271977105,11.356823,0.07031657824728349,0.03187847687590957,0.10875467961865741
1000,benchmark,0.21208269987255335,12.044279,0.556184,11.356823,0.060532421787325486,0.0,0.15652059030945534
1000,hybrid,4.565819200128317,11.540799767715816,0.16840969233371283,11.356823,0.016199668491427198,0.0,0.04526439873984945
2000,benchmark,0.21572030009701848,12.183347,0.408285,11.356823,0.07277774779090941,0.0023145029204029166,0.1432409926614159
2000,hybrid,9.378723700065166,11.09617231631071,0.10784812998919706,11.356823,0.022951021046052237,0.004338215794193905,0.04156382629791057
5000,benchmark,0.24750220007263124,11.832667,0.253256,11.356823,0.04189939387097962,0.0,0.0856071948994891
5000,hybrid,22.99433059990406,11.540629797536665,0.07362377954364294,11.356823,0.016184702142198117,0.003478454285245453,0.02889094999915078
10000,benchmark,0.28223450016230345,11.561979,0.167854,11.356823,0.018064559076072486,0.0,0.04703338600944996
10000,hybrid,41.36281209997833,11.247761052626007,0.050832322460036154,11.356823,0.009603209222684293,0.0008303902730827237,0.018376028172285862
20000,benchmark,0.40145400003530085,11.508503,0.11929,11.356823,0.013355847845827915,0.0,0.033943330806511476
20000,hybrid,78.61914389999583,11.362763615328547,0.035910970815664946,11.356823,0.000523087779790719,0.0,0.006720727982398783
40000,benchmark,0.6077852000016719,11.565093,0.084977,11.356823,0.018338755477654168,0.003673129360209229,0.03300438159509911
40000,hybrid,154.89165170001797,11.416874091701098,0.02496246080192288,11.356823,0.005287666427582599,0.0009795581501383331,0.009595774705026866
60000,benchmark,0.9138575999531895,11.496757,0.069573,11.356823,0.012321579723484308,0.00031442948437248594,0.024328729962596128
60000,hybrid,233.8582069000695,11.391167849488118,0.020572774006637238,11.356823,0.0030241599686917724,0.0,0.006574680836456393
