paths,method,runtime_seconds,price_direct,se_direct,reference_direct_price,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct
250,benchmark,0.24714600015431643,9.218305,0.949228,7.402999,0.24521224438906455,0.0,0.4965275397173497
250,hybrid,1.1867390999104828,8.425518308877939,0.24562148858518526,7.402999,0.13812230811836368,0.07309216052183383,0.20315245571489365
500,benchmark,0.21016429993323982,8.199723,0.611181,7.402999,0.10762178949369035,0.0,0.26943658374126483
500,hybrid,2.1781835998408496,8.060138079193335,0.1633725633247932,7.402999,0.08876660380385495,0.04551248150604093,0.13202072610166898
1000,benchmark,0.1977707000914961,7.983426,0.481296,7.402999,0.07840430614673854,0.0,0.20583106387019628
1000,hybrid,4.263747500022873,7.618089048647886,0.1250928892022925,7.402999,0.02905444788630739,0.0,0.06217373681725188
2000,benchmark,0.21389739983715117,8.06202,0.336072,7.402999,0.08902081440237937,4.320951549502588e-05,0.17799841928926372
2000,hybrid,7.952984199859202,7.157395375178882,0.07878238322757125,7.402999,0.0331762336886873,0.012318001622731407,0.0540344657546432
5000,benchmark,0.24058480001986027,7.761964,0.206435,7.402999,0.04848913257991788,0.0,0.10314436081917594
5000,hybrid,19.463063499890268,7.56309523032644,0.05456551317393136,7.402999,0.02162586140109433,0.007179228918649607,0.03607249388353905
10000,benchmark,0.2740131001919508,7.615982,0.139783,7.402999,0.028769826930950478,0.0,0.06577843384822822
10000,hybrid,38.46841119998135,7.338670617943339,0.037447820551154566,7.402999,0.008689503005020206,0.0,0.018604096844660425
20000,benchmark,0.3549917999189347,7.563898,0.098998,7.402999,0.021734299842536744,0.0,0.04794476941034299
20000,hybrid,77.48350990004838,7.421371471344581,0.026580401019061978,7.402999,0.0024817606141214568,0.0,0.009519122904371879
40000,benchmark,0.6759091001003981,7.53793,0.069539,7.402999,0.018226532247268966,0.0,0.03663750866371853
40000,hybrid,154.10706879990175,7.454271539602046,0.018403765155677997,7.402999,0.006925914700521464,0.002053378623570852,0.011798450777472075
60000,benchmark,0.8435919999610633,7.53398,0.057264,7.402999,0.01769296470254816,0.0025318874148164807,0.032854041990279845
60000,hybrid,228.79113870020956,7.441944083913443,0.015181562503177471,7.402999,0.005260717165224853,0.0012412836213019148,0.009280150709147792
