paths,method,runtime_seconds,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,price_low,se_low,rel_error_low,rel_ci_lower_low,rel_ci_upper_low,direct_low_gap
250,benchmark,0.24714600015431643,9.218305,0.949228,0.24132929607188444,0.0,0.491860914314216,6.391398,0.774347,0.13707711344548887,0.0,0.34198931370781943,-0.30666234193813297
250,hybrid,1.1867390999104828,8.425518308877939,0.24562148858518526,0.1345732986053537,0.06974593467346712,0.19940066253724037,6.583298698039719,0.7756838219279463,0.1111679924230991,0.0,0.31643395026777243,-0.21864763012823554
500,benchmark,0.21016429993323982,8.199723,0.611181,0.1041678898207903,0.0,0.2654780966087974,7.615355,0.624656,0.028173197591095028,0.0,0.1934732960832005,-0.0712667976710921
500,hybrid,2.1781835998408496,8.060138079193335,0.1633725633247932,0.085371500301547,0.0422522574366523,0.1284907431664417,6.492279906676573,0.5331048304678412,0.12345672771603322,0.0,0.26453002403104714,-0.1945200140632919
1000,benchmark,0.1977707000914961,7.983426,0.481296,0.07504151542197604,0.0,0.20207091798233162,7.172338,0.427047,0.03163993068424005,0.0,0.14464758795601546,-0.10159648251264555
1000,hybrid,4.263747500022873,7.618089048647886,0.1250928892022925,0.02584554494248253,0.0,0.05886155791561333,6.884014444739038,0.3981666860528932,0.07056740704660212,0.0,0.1759325879154619,-0.09635941496892017
2000,benchmark,0.21389739983715117,8.06202,0.336072,0.08562491819455458,0.0,0.17432506400350337,7.249362,0.309465,0.02124067649697547,0.0,0.10313310205577807,-0.10080079186109693
2000,hybrid,7.952984199859202,7.157395375178882,0.07878238322757125,0.03619108254945329,0.015397892758390534,0.05698427234051605,7.035459097748466,0.28482335644098966,0.05012038479448427,0.0,0.12549199552510665,-0.017036403752862226
5000,benchmark,0.24058480001986027,7.761964,0.206435,0.04521962641237272,0.0,0.09970442312281069,7.505349,0.201077,0.013320939124588047,0.0,0.06653110264578546,-0.0330605759057888
5000,hybrid,19.463063499890268,7.56309523032644,0.05456551317393136,0.01844012303625732,0.004038539522403609,0.03284170655011103,7.3135569445783535,0.19060080913237873,0.012573513713847278,0.0,0.06301140676579459,-0.032994201203164826
10000,benchmark,0.2740131001919508,7.615982,0.139783,0.02556181152133083,0.0,0.06245501441122437,7.348599,0.135946,0.007842374827605103,0.0,0.04381719487192997,-0.035108144950972794
10000,hybrid,38.46841119998135,7.338670617943339,0.037447820551154566,0.011780708896589435,0.0018970317586108228,0.021664386034568047,7.528029042193635,0.13264959839840906,0.016383043452453415,0.0,0.05148555056067815,0.025802823714053576
20000,benchmark,0.3549917999189347,7.563898,0.098998,0.018548223333848663,0.0,0.04467696073177029,7.507729,0.098144,0.013642270462426836,0.0,0.03961370572665092,-0.007425933030826128
20000,hybrid,77.48350990004838,7.421371471344581,0.026580401019061978,0.0006442806554856774,0.0,0.007659698322090255,7.559584642249028,0.0962902424088188,0.020643464957538743,0.0,0.04612434812204284,0.01862366968667671
40000,benchmark,0.6759091001003981,7.53793,0.069539,0.015051394018655209,0.0,0.03340495944335134,7.537382,0.069474,0.017645815908196395,0.0,0.03603042926761432,-7.269900357262736e-05
40000,hybrid,154.10706879990175,7.454271539602046,0.018403765155677997,0.003786015214607163,0.0,0.008643357250665833,7.577899061187786,0.06811330116190482,0.023116152663139513,0.005091615332696366,0.041140689993582655,0.01658478912781058
60000,benchmark,0.8435919999610633,7.53398,0.057264,0.014519490298884096,0.0,0.029633290763081233,7.487236,0.05698,0.010875445627834828,0.0,0.025953824146699913,-0.006204423160135739
60000,hybrid,228.79113870020956,7.441944083913443,0.015181562503177471,0.002126010268763947,0.0,0.006132910003462218,7.524645230178672,0.05490703982579952,0.015926184275242127,0.0013963645166636168,0.03045600403382064,0.011112841662435594
