scenario,K,euler_steps,method,runtime_seconds,reference_direct_price,reference_direct_error,price_direct,se_direct,direct_ci_lower,direct_ci_upper,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct
K=80 put,80.0,12,benchmark,1.3458731998689473,4.596899,0.009874,5.233201,0.04899,5.137180600000001,5.3292214,0.13841983476252157,0.11753175347119897,0.15930791605384417
K=80 put,80.0,12,hybrid,213.20760970003903,4.596899,0.009874,5.196682092081854,0.010102739371556167,5.176880722913604,5.216483461250104,0.1304755862771522,0.1261680369556966,0.13478313559860777
K=80 put,80.0,24,benchmark,0.714881099993363,4.596899,0.009874,4.842198,0.046816,4.75043864,4.93395736,0.05336184240724022,0.03340069903645914,0.07332298577802131
K=80 put,80.0,24,hybrid,238.81734810001217,4.596899,0.009874,4.844431963415905,0.01042551327602915,4.823997957394888,4.864865969436923,0.05384781423648982,0.049402642388899236,0.05829298608408041
K=80 put,80.0,48,benchmark,1.2868538000620902,4.596899,0.009874,4.728836,0.045527,4.6396030800000005,4.81806892,0.028701304944920618,0.009289758160882134,0.0481128517289591
K=80 put,80.0,48,hybrid,254.98365539987572,4.596899,0.009874,4.648764493296767,0.010520496057790553,4.628144321023497,4.669384665570036,0.011282713258822364,0.00679704318574277,0.015768383331901958
K=80 put,80.0,72,benchmark,1.2369758000131696,4.596899,0.009874,4.662578,0.044924,4.57452696,4.75062904,0.014287675234979117,0.0,0.033442118262768036
K=80 put,80.0,72,hybrid,244.96319820010103,4.596899,0.009874,4.6100832357938515,0.01062949713610667,4.589249421407082,4.630917050180621,0.0028680716704569454,0.0,0.007400217011646568
K=80 put,80.0,120,benchmark,1.62382430001162,4.596899,0.009874,4.563772,0.044208,4.477124320000001,4.65041968,0.0072063797790639875,0.0,0.02605553874470573
K=80 put,80.0,120,hybrid,242.99504530010745,4.596899,0.009874,4.575418845235382,0.010642948081373683,4.55455866699589,4.5962790234748745,0.0046727489041237386,0.0001348684243715453,0.009210629383875932
