scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,250,benchmark,2026,2103,250,0.1714899,15.743520,19.277909542341,1.305962465896,0.224498050140,0.061911383807,0.387084716474,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,250,hybrid,2026,2103,250,1.0423558,15.743520,17.119968724264,0.405825474496,0.087429540806,0.036906028274,0.137953053337,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,500,benchmark,2026,2103,500,0.179879300005,15.743520,18.073753020468,0.826373791761,0.148012199335,0.045132244162,0.250892154507,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,500,hybrid,2026,2103,500,1.9296131,15.743520,16.680849124688,0.284666903930,0.059537455708,0.024097660052,0.094977251364,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,1000,benchmark,2026,2103,1000,0.178828999997,15.743520,16.843213011705,0.567611083840,0.069850517019,0.000000000000,0.140515636658,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,1000,hybrid,2026,2103,1000,3.7004116,15.743520,15.962200820180,0.213831866264,0.013890211349,0.000000000000,0.040511351849,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,2000,benchmark,2026,2103,1000,0.175433100005,15.743520,16.515637316080,0.424148582802,0.049043499553,0.000000000000,0.101848159647,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,2000,hybrid,2026,2103,1000,5.4670225,15.743520,15.536464143880,0.137953582336,0.013151814595,0.000000000000,0.030326437639,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,5000,benchmark,2026,2103,1000,0.1952389,15.743520,15.985294569990,0.256928229097,0.015357084692,0.000000000000,0.047343535564,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,5000,hybrid,2026,2103,1000,10.7555252,15.743520,15.889208258140,0.091786210157,0.009253855436,0.000000000000,0.020680840755,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,10000,benchmark,2026,2103,1000,0.222639200001,15.743520,16.056540711200,0.182471700514,0.019882511103,0.000000000000,0.042599446897,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,10000,hybrid,2026,2103,1000,19.6585829,15.743520,15.660173465622,0.063993359409,0.005294021564,0.000000000000,0.013260917433,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,benchmark,2026,2103,1000,0.285113000005,15.743520,15.920336648207,0.123350267238,0.011231074639,0.000000000000,0.026587648251,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ITM put,110,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,hybrid,2026,2103,1000,37.1247604,15.743520,15.746530425203,0.045114354646,0.000191216780,0.000000000000,0.005807758386,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
