scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,250,benchmark,2026,2103,250,0.194717400002,4.298933,5.950272103702,0.783492197426,0.384127666959,0.026912351681,0.741342982237,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,250,hybrid,2026,2103,250,1.05409670001,4.298933,5.034149102575,0.170889919455,0.171022926520,0.093109583342,0.248936269699,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,500,benchmark,2026,2103,500,0.171905800002,4.298933,4.749572953739,0.489324089027,0.104826000717,0.000000000000,0.327922107237,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,500,hybrid,2026,2103,500,2.1148492,4.298933,4.693719517436,0.107755914886,0.091833605556,0.042704765173,0.140962445940,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,1000,benchmark,2026,2103,1000,0.1762896,4.298933,4.762323181558,0.374561064926,0.107791905935,0.000000000000,0.278564441180,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,1000,hybrid,2026,2103,1000,3.7107721,4.298933,4.395586076542,0.079156854376,0.022483038592,0.000000000000,0.058572792625,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,2000,benchmark,2026,2103,1000,0.181790499999,4.298933,4.521689750096,0.233612782058,0.051816753156,0.000000000000,0.158327148371,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,2000,hybrid,2026,2103,1000,5.4703994,4.298933,4.115352294061,0.051493324297,0.042703783925,0.019226582577,0.066180985273,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,5000,benchmark,2026,2103,1000,0.202803799999,4.298933,4.628617779408,0.158296758487,0.076689908730,0.004518128748,0.148861688713,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,5000,hybrid,2026,2103,1000,10.7009173,4.298933,4.469552332580,0.037138814067,0.039688762905,0.022756171592,0.056621354218,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,10000,benchmark,2026,2103,1000,0.249308300001,4.298933,4.553303770803,0.107065804575,0.059170675794,0.010356475394,0.107984876193,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,10000,hybrid,2026,2103,1000,19.6507765,4.298933,4.320503589277,0.024599072637,0.005017661191,0.000000000000,0.016233044722,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,20000,benchmark,2026,2103,1000,0.284508299999,4.298933,4.483550159103,0.075771232375,0.042944879370,0.008398722113,0.077491036627,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,20000,hybrid,2026,2103,1000,37.2411132,4.298933,4.317574179249,0.018315079466,0.004336233956,0.000000000000,0.012686574785,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,40000,benchmark,2026,2103,1000,0.4458046,4.298933,4.387049521322,0.052818372402,0.020497300452,0.000000000000,0.044578627122,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,40000,hybrid,2026,2103,1000,72.7310763,4.298933,4.321169994908,0.012332193578,0.005172677710,0.000000000000,0.010795258805,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,60000,benchmark,2026,2103,1000,0.598203000001,4.298933,4.410863128264,0.042556511920,0.026036723127,0.006634056614,0.045439389641,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,60,60000,hybrid,2026,2103,1000,108.0660425,4.298933,4.342094771831,0.010174046107,0.010040112705,0.005401489500,0.014678735910,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
