scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,benchmark,2026,2103,1000,0.2506565,2.522851,2.740944314793,0.057699576470,0.226182339763,0.086447164257,0.041620430581,0.131273897933,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,hybrid,2026,2103,1000,40.5636559,2.522851,2.711024908956,0.011329029392,0.044409795216,0.074587801244,0.065786291520,0.083389310968,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,benchmark,2026,2103,1000,0.284596899997,2.522851,2.611645702773,0.056519503525,0.221556453818,0.035196174000,0.000000000000,0.079106110382,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,hybrid,2026,2103,1000,40.1782827,2.522851,2.574765217593,0.011559093854,0.045311647907,0.020577599546,0.011597353010,0.029557846082,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,20000,benchmark,2026,2103,1000,0.3025394,2.522851,2.578706392051,0.055671788780,0.218233412016,0.022139790281,0.000000000000,0.065391138065,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,20000,hybrid,2026,2103,1000,40.2043369,2.522851,2.547003410734,0.011695602391,0.045846761373,0.009573459049,0.000487159189,0.018659758908,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,20000,benchmark,2026,2103,1000,0.358315600002,2.522851,2.535598484786,0.055137641349,0.216139554090,0.005052809217,0.000000000000,0.047889178485,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=70 put,70.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,20000,hybrid,2026,2103,1000,40.0337804,2.522851,2.564740130709,0.011624443715,0.045567819365,0.016603886123,0.007572869356,0.025634902890,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,benchmark,2026,2103,1000,0.244797200001,4.298933,4.633500292587,0.076368063994,0.299362810858,0.077825658736,0.043007389778,0.112643927695,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,hybrid,2026,2103,1000,41.4785107,4.298933,4.527997978775,0.017397882248,0.068199698412,0.053284147200,0.045351981426,0.061216312974,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,benchmark,2026,2103,1000,0.294893700004,4.298933,4.432813104128,0.074111663589,0.290517721270,0.031142635656,0.000000000000,0.064932150551,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,hybrid,2026,2103,1000,42.4013086,4.298933,4.345362853358,0.017761072577,0.069623404503,0.010800320302,0.002702566220,0.018898074385,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,20000,benchmark,2026,2103,1000,0.314701899995,4.298933,4.408716819310,0.074021642014,0.290164836696,0.025537457623,0.000000000000,0.059285929243,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,20000,hybrid,2026,2103,1000,40.4113523,4.298933,4.307120076801,0.017905267838,0.070188649924,0.001904443917,0.000000000000,0.010067940524,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
