scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,250,benchmark,2026,2103,250,0.168335599999,6.942119,8.600879153229,0.932667225231,0.238941474963,0.000000000000,0.502265650399,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,250,hybrid,2026,2103,250,1.0505429,6.942119,7.946139735417,0.239383961283,0.144627416415,0.077041054943,0.212213777887,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,500,benchmark,2026,2103,500,0.185198800005,6.942119,7.821129261949,0.594865595900,0.126619878160,0.000000000000,0.294570984726,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,500,hybrid,2026,2103,500,1.9375143,6.942119,7.599804935633,0.158728834392,0.094738499244,0.049923866218,0.139553132270,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,1000,benchmark,2026,2103,1000,0.1823764,6.942119,7.432986748939,0.459602515198,0.070708633623,0.000000000000,0.200470300023,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,1000,hybrid,2026,2103,1000,3.704016,6.942119,7.186871797763,0.121986822929,0.035256208913,0.000815114927,0.069697302899,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,2000,benchmark,2026,2103,1000,0.186988499998,6.942119,7.508615656093,0.317228254512,0.081602844332,0.000000000000,0.171167338811,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,2000,hybrid,2026,2103,1000,5.480768,6.942119,6.711374450301,0.076250505830,0.033238345482,0.011710193714,0.054766497250,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,5000,benchmark,2026,2103,1000,0.194848599996,6.942119,7.240828780200,0.196147438574,0.043028617084,0.000000000000,0.098407814646,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,5000,hybrid,2026,2103,1000,10.761315,6.942119,7.090475847467,0.052629004445,0.021370542261,0.006511556306,0.036229528215,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,10000,benchmark,2026,2103,1000,0.228505799998,6.942119,7.168735226667,0.132649127837,0.032643667829,0.000000000000,0.070095098806,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,10000,hybrid,2026,2103,1000,19.621935,6.942119,6.903123237334,0.036307056493,0.005617270846,0.000000000000,0.015868007073,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,benchmark,2026,2103,1000,0.277853400003,6.942119,7.129239465340,0.093340452277,0.026954373058,0.000601139058,0.053307607058,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
