study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
benchmark,K=70 put,70,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\bgk_r03_v004_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,275.232320
benchmark,K=80 put,80,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\bgk_r03_v004_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,289.788229
benchmark,OTM put,90,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\bgk_r03_v004_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,285.131744
benchmark,ATM,100,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\bgk_r03_v004_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,284.988298
benchmark,ITM put,110,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\bgk_r03_v004_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,281.383430
path_48,K=70 put,70,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r03_v004_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.200620
path_48,K=70 put,70,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r03_v004_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,1.073540
path_48,K=70 put,70,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r03_v004_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.201436
path_48,K=70 put,70,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r03_v004_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,1.990300
path_48,K=70 put,70,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r03_v004_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.208646
path_48,K=70 put,70,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r03_v004_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,4.146442
path_48,K=70 put,70,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r03_v004_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.210230
path_48,K=70 put,70,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r03_v004_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r03_v004_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,6.206740
