scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=70 put,70.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,24,20000,benchmark,2026,2103,1000,0.270462600005,0.157901,0.160932190404,0.009101236604,0.035676847489,0.019196777755,0.000000000000,0.132168980238,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=70 put,70.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,24,20000,hybrid,2026,2103,1000,39.8017305,0.157901,0.175068261620,0.000553723964,0.002170597938,0.108721677635,0.101848390137,0.115594965133,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=70 put,70.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.275320199995,0.157901,0.156601950270,0.008564895256,0.033574389402,0.008226988617,0.000000000000,0.114541671241,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=70 put,70.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,39.2888471,0.157901,0.173313205882,0.000558747915,0.002190291828,0.097606765515,0.090671116508,0.104542414523,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=70 put,70.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.316730499995,0.157901,0.158691102797,0.009328155359,0.036566369005,0.005003785894,0.000000000000,0.120792694785,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=70 put,70.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,hybrid,2026,2103,1000,38.0703306,0.157901,0.172252433702,0.000555866469,0.002178996559,0.090888808192,0.083988926116,0.097788690268,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=70 put,70.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,96,20000,benchmark,2026,2103,1000,0.364912900004,0.157901,0.167939822348,0.009741625638,0.038187172503,0.063576686326,0.000000000000,0.184497936041,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=70 put,70.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,96,20000,hybrid,2026,2103,1000,37.4809879,0.157901,0.172651239553,0.000559805318,0.002194436847,0.093414478392,0.086465704011,0.100363252772,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,24,20000,benchmark,2026,2103,1000,0.240091699998,0.741358,0.778165043472,0.020648319023,0.080941410569,0.049648136895,0.000000000000,0.104238099214,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,24,20000,hybrid,2026,2103,1000,38.2553143,0.741358,0.773146675837,0.001669320494,0.006543736337,0.042878981325,0.038465636937,0.047292325713,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.270623899996,0.741358,0.756683947577,0.020368391554,0.079844094891,0.020672802583,0.000000000000,0.074522693520,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,36.809576,0.741358,0.765318730273,0.001681757576,0.006592489697,0.032320053567,0.027873828062,0.036766279073,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.318925700005,0.741358,0.746988705908,0.020415657391,0.080029376972,0.007595123959,0.000000000000,0.061569976171,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,hybrid,2026,2103,1000,37.1350729,0.741358,0.760926482391,0.001676979855,0.006573761032,0.026395455895,0.021961861713,0.030829050077,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
K=80 put,80.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,96,20000,benchmark,2026,2103,1000,0.362496599999,0.741358,0.744451897770,0.020703556289,0.081157940653,0.004173284392,0.000000000000,0.058909282825,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
K=80 put,80.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,96,20000,hybrid,2026,2103,1000,39.7061933,0.741358,0.762265314971,0.001687041052,0.006613200925,0.028201375006,0.023741181061,0.032661568951,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
OTM put,90.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,24,20000,benchmark,2026,2103,1000,0.2795491,2.503886,2.566846430327,0.038438851603,0.150680298282,0.025145086608,0.000000000000,0.055234375474,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
OTM put,90.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,24,20000,hybrid,2026,2103,1000,38.6797101,2.503886,2.554309949546,0.003101749327,0.012158857362,0.020138276881,0.017710279488,0.022566274274,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
OTM put,90.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.2779992,2.503886,2.554532669003,0.038786115002,0.152041570809,0.020227226400,0.000000000000,0.050588347236,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
OTM put,90.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,41.3884765,2.503886,2.532785767676,0.003141246330,0.012313685615,0.011541966238,0.009083051252,0.014000881223,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
OTM put,90.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.325802300002,2.503886,2.532665337717,0.038154694703,0.149566403235,0.011493869017,0.000000000000,0.041360724623,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
