scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,250,benchmark,2026,2103,250,0.205926299997,12.571373,14.210974007179,0.674282738850,0.130423383920,0.025296110380,0.235550657460,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,250,hybrid,2026,2103,250,1.0878049,12.571373,12.682460184633,0.006000870811,0.008836519657,0.007900925209,0.009772114106,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,500,benchmark,2026,2103,500,0.206159199995,12.571373,13.294586069895,0.456690105941,0.057528566680,0.000000000000,0.128731020672,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,500,hybrid,2026,2103,500,2.0054598,12.571373,12.635762984382,0.003449719798,0.005121953217,0.004584108162,0.005659798272,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,1000,benchmark,2026,2103,1000,0.209919000001,12.571373,13.488407096648,0.319734430567,0.072946216507,0.023096491746,0.122795941267,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,1000,hybrid,2026,2103,1000,3.8787653,12.571373,12.642665894284,0.003243737516,0.005671050750,0.005165320347,0.006176781153,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,2000,benchmark,2026,2103,1000,0.2185723,12.571373,12.744365536611,0.240087551167,0.013760830787,0.000000000000,0.051192828094,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,2000,hybrid,2026,2103,1000,5.6942889,12.571373,12.652399566426,0.002116417947,0.006445323548,0.006115353291,0.006775293805,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,5000,benchmark,2026,2103,1000,0.234486900001,12.571373,12.759523376093,0.151445804971,0.014966573348,0.000000000000,0.038578455499,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,5000,hybrid,2026,2103,1000,11.2649095,12.571373,12.638536057093,0.001281320821,0.005342539522,0.005142769074,0.005542309969,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,10000,benchmark,2026,2103,1000,0.270623800003,12.571373,12.726999964429,0.104608821237,0.012379472348,0.000000000000,0.028689010664,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,10000,hybrid,2026,2103,1000,20.5686207,12.571373,12.628053763148,0.000830417403,0.004508716999,0.004379246804,0.004638187194,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,20000,benchmark,2026,2103,1000,0.322005900001,12.571373,12.633992347170,0.073734273600,0.004981106453,0.000000000000,0.016477000836,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,20000,hybrid,2026,2103,1000,39.509808,12.571373,12.633464939217,0.000600614113,0.004939153362,0.004845511748,0.005032794976,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,40000,benchmark,2026,2103,1000,0.498572999997,12.571373,12.650112514790,0.053073965025,0.006263398182,0.000000000000,0.014538148398,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,40000,hybrid,2026,2103,1000,76.9635695,12.571373,12.638910307102,0.000440733108,0.005372309540,0.005303594938,0.005441024142,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,60000,benchmark,2026,2103,1000,0.668450900004,12.571373,12.571437124482,0.043865671554,0.000005100834,0.000000000000,0.006844188040,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,60,60000,hybrid,2026,2103,1000,114.5330707,12.571373,12.639621272791,0.000355536600,0.005428863879,0.005373432246,0.005484295512,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
