study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
benchmark,K=70 put,70,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\bgk_r05_v0114_vp009_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,267.994585
benchmark,K=80 put,80,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\bgk_r05_v0114_vp009_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,286.685847
benchmark,OTM put,90,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\bgk_r05_v0114_vp009_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,274.580613
benchmark,ATM,100,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\bgk_r05_v0114_vp009_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,258.743657
benchmark,ITM put,110,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\bgk_r05_v0114_vp009_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,257.275302
path_48,K=70 put,70,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.176597
path_48,K=70 put,70,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,1.054396
path_48,K=70 put,70,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.169007
path_48,K=70 put,70,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,1.952599
path_48,K=70 put,70,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.172028
path_48,K=70 put,70,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,3.776217
path_48,K=70 put,70,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.179158
path_48,K=70 put,70,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,5.587962
path_48,K=70 put,70,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.237214
path_48,K=70 put,70,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,11.110647
path_48,K=70 put,70,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.224104
path_48,K=70 put,70,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,19.918291
path_48,K=70 put,70,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.269345
path_48,K=70 put,70,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,37.979981
path_48,K=70 put,70,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.413275
path_48,K=70 put,70,48,40000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,74.257386
path_48,K=70 put,70,48,60000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.536915
path_48,K=70 put,70,48,60000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,110.086163
path_48,K=80 put,80,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.168199
path_48,K=80 put,80,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,1.049431
path_48,K=80 put,80,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.183023
path_48,K=80 put,80,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,1.973639
path_48,K=80 put,80,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.179786
path_48,K=80 put,80,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,3.766550
path_48,K=80 put,80,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.180239
path_48,K=80 put,80,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,5.547077
path_48,K=80 put,80,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.201499
path_48,K=80 put,80,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,10.940904
path_48,K=80 put,80,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.221923
path_48,K=80 put,80,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,19.878824
path_48,K=80 put,80,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.270105
path_48,K=80 put,80,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,37.770253
path_48,K=80 put,80,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.408883
path_48,K=80 put,80,48,40000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,73.839462
path_48,K=80 put,80,48,60000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.544004
path_48,K=80 put,80,48,60000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,109.939929
path_48,OTM put,90,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.168996
path_48,OTM put,90,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,1.047733
path_48,OTM put,90,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.169701
path_48,OTM put,90,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,1.966129
path_48,OTM put,90,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.180458
path_48,OTM put,90,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,3.755696
path_48,OTM put,90,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.182045
path_48,OTM put,90,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,5.585290
path_48,OTM put,90,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.198686
path_48,OTM put,90,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,11.011828
path_48,OTM put,90,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.223716
path_48,OTM put,90,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,19.925236
path_48,OTM put,90,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.280773
path_48,OTM put,90,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,37.778458
path_48,OTM put,90,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r05_v0114_vp009_t1_delta05_nex12\results\reference_values\path_sweep\bgk_r05_v0114_vp009_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.409436
