study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
benchmark,K=70 put,70,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,279.012122
benchmark,K=80 put,80,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,266.574248
benchmark,OTM put,90,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,285.173369
benchmark,ATM,100,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,279.064495
benchmark,ITM put,110,1200,1200000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,276.637374
path_48,K=70 put,70,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.170880
path_48,K=70 put,70,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,1.031442
path_48,K=70 put,70,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.166446
path_48,K=70 put,70,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,1.909242
path_48,K=70 put,70,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.171156
path_48,K=70 put,70,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,3.744308
path_48,K=70 put,70,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.174614
path_48,K=70 put,70,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,5.710295
path_48,K=70 put,70,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.197852
path_48,K=70 put,70,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,10.990342
path_48,K=70 put,70,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.227048
path_48,K=70 put,70,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,20.112018
path_48,K=70 put,70,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.281850
path_48,K=70 put,70,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,38.821886
path_48,K=70 put,70,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.409786
path_48,K=70 put,70,48,40000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,76.530011
path_48,K=70 put,70,48,60000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.554089
path_48,K=70 put,70,48,60000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,112.822499
path_48,K=80 put,80,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.172064
path_48,K=80 put,80,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,1.041511
path_48,K=80 put,80,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.168894
path_48,K=80 put,80,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,1.912500
path_48,K=80 put,80,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.171257
path_48,K=80 put,80,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,3.715531
path_48,K=80 put,80,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.179914
path_48,K=80 put,80,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,5.635778
path_48,K=80 put,80,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.201208
path_48,K=80 put,80,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,11.374793
path_48,K=80 put,80,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.243187
path_48,K=80 put,80,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,20.697990
path_48,K=80 put,80,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.269574
path_48,K=80 put,80,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,38.703823
path_48,K=80 put,80,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.399476
path_48,K=80 put,80,48,40000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,75.163213
path_48,K=80 put,80,48,60000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.535632
path_48,K=80 put,80,48,60000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,111.823054
path_48,OTM put,90,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.179419
