scenario,K,r,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=70 put,70.0,0.02,0.5,0.5,12,24,20000,benchmark,2026,2103,1000,0.240161400001,3.363539,4.360704138881,0.080608349768,0.315984731089,0.296463082153,0.249491019232,0.343435145074,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70.0,0.02,0.5,0.5,12,24,20000,hybrid,2026,2103,1000,38.4839793,3.363539,4.151417352073,0.017073116092,0.066926615082,0.234240884994,0.224292046125,0.244189723864,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70.0,0.02,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.2876149,3.363539,4.123699143272,0.079111543381,0.310117250052,0.226000097895,0.179900253348,0.272099942441,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70.0,0.02,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,38.093189,3.363539,3.870693729119,0.017435771430,0.068348224007,0.150780094751,0.140619929519,0.160940259983,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70.0,0.02,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.337715899999,3.363539,3.890818714097,0.076220247366,0.298783369674,0.156763371585,0.112348341809,0.201178401361,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70.0,0.02,0.5,0.5,12,72,20000,hybrid,2026,2103,1000,38.5437543,3.363539,3.739473053657,0.017439742003,0.068363788654,0.111767413328,0.101604934365,0.121929892290,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70.0,0.02,0.5,0.5,12,96,20000,benchmark,2026,2103,1000,0.3572,3.363539,3.862303336595,0.075873913734,0.297425741837,0.148285581524,0.104072367134,0.192498795915,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70.0,0.02,0.5,0.5,12,96,20000,hybrid,2026,2103,1000,37.181375,3.363539,3.720158436186,0.017470897425,0.068485917905,0.106025063538,0.095844429701,0.116205697374,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=80 put,80.0,0.02,0.5,0.5,12,24,20000,benchmark,2026,2103,1000,0.247211900001,4.961292,6.347979201988,0.100516881334,0.394026174828,0.279501227097,0.239791190394,0.319211263800,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=80 put,80.0,0.02,0.5,0.5,12,24,20000,hybrid,2026,2103,1000,36.5848009,4.961292,6.069739854273,0.023756921423,0.093127131980,0.223419192878,0.214033821892,0.232804563864,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
