scenario,K,r,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=70 put,70,0.02,0.5,0.5,12,48,250,benchmark,2026,2103,250,0.1708805,3.363539,5.372609023738,0.777507674122,0.597308377794,0.144239440202,1.050377315386,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,250,hybrid,2026,2103,250,1.0314422,3.363539,4.393816764427,0.173047202073,0.306307661195,0.205469670000,0.407145652389,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70,0.02,0.5,0.5,12,48,500,benchmark,2026,2103,500,0.166445500001,3.363539,4.302495802287,0.496460876928,0.279157400074,0.000000000000,0.568454868835,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,500,hybrid,2026,2103,500,1.9092418,3.363539,4.139044036047,0.099350550032,0.230562225099,0.172668715298,0.288455734900,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70,0.02,0.5,0.5,12,48,1000,benchmark,2026,2103,1000,0.171155800001,3.363539,4.611229354486,0.384396270198,0.370945707627,0.146950478320,0.594940936934,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,1000,hybrid,2026,2103,1000,3.7443084,3.363539,4.116799180246,0.082794865299,0.223948698156,0.175702509845,0.272194886467,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70,0.02,0.5,0.5,12,48,2000,benchmark,2026,2103,1000,0.174614400001,3.363539,4.357866184478,0.258121987944,0.295619341556,0.145206607715,0.446032075397,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,2000,hybrid,2026,2103,1000,5.7102945,3.363539,3.662229377751,0.050393907281,0.088802412504,0.059436896519,0.118167928489,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70,0.02,0.5,0.5,12,48,5000,benchmark,2026,2103,1000,0.1978523,3.363539,4.120363809119,0.161297078358,0.225008483362,0.131017519207,0.318999447516,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,5000,hybrid,2026,2103,1000,10.9903424,3.363539,3.966364794374,0.035883414056,0.179223667207,0.158313699596,0.200133634818,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70,0.02,0.5,0.5,12,48,10000,benchmark,2026,2103,1000,0.227047799999,3.363539,4.079068170346,0.112375031844,0.212731046183,0.147247915940,0.278214176425,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,10000,hybrid,2026,2103,1000,20.1120179,3.363539,3.859267055345,0.024664169027,0.147382877185,0.133010583214,0.161755171157,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70,0.02,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.2818503,3.363539,4.123699143272,0.079111543381,0.226000097895,0.179900253348,0.272099942441,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,38.8218859,3.363539,3.870693729119,0.017435771430,0.150780094751,0.140619929519,0.160940259983,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70,0.02,0.5,0.5,12,48,40000,benchmark,2026,2103,1000,0.4097857,3.363539,4.015240625338,0.055824279540,0.193754740271,0.161224840098,0.226284640445,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,40000,hybrid,2026,2103,1000,76.5300108,3.363539,3.910976976449,0.011877587490,0.162756541978,0.155835239302,0.169677844654,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
K=70 put,70,0.02,0.5,0.5,12,48,60000,benchmark,2026,2103,1000,0.5540893,3.363539,4.050913238760,0.045619278598,0.204360418821,0.177777172409,0.230943665233,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=70 put,70,0.02,0.5,0.5,12,48,60000,hybrid,2026,2103,1000,112.8224987,3.363539,3.951638331767,0.009883950142,0.174845402942,0.169085831765,0.180604974120,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
