study,K,euler_steps,paths,low_paths,seed,low_seed,grid_label,asset_grid_points,asset_low_factor,asset_high_factor,vol_quantile,price_direct,se_direct,price_low,se_low,runtime_seconds,r,delta1,delta2,v0,vp0,T,exercise_dates,hybrid_engine_sha256
hybrid_sensitivity,100,240,20000,1000,2026,2103,default,301,0.3,3.5,0.999,10.487312491759,0.041854431977,9.694762696535,0.530147787658,36.087081,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,240,20000,1000,2026,2103,expanded,601,0.15,6,0.9995,10.515626428412,0.042007150686,9.668674395501,0.537051359782,71.540578,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,240,20000,1000,2026,2103,q995,301,0.3,3.5,0.995,10.487333172233,0.041908443177,9.735739291150,0.527457941051,35.578698,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,240,20000,1000,2026,2103,wide,301,0.15,6,0.999,10.520780235638,0.041998026921,9.654838235580,0.538309864710,35.365193,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,48,20000,1000,2026,2103,default,301,0.3,3.5,0.999,11.226218119706,0.042369668451,10.636467806187,0.553936222414,36.171079,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,48,20000,1000,2026,2103,expanded,601,0.15,6,0.9995,11.267153354283,0.042686362474,10.758490794370,0.575437218009,72.699190,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,48,20000,1000,2026,2103,q995,301,0.3,3.5,0.995,11.243724988662,0.042387922245,10.495026774797,0.546231385599,35.454118,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,48,20000,1000,2026,2103,wide,301,0.15,6,0.999,11.270482830950,0.042599823280,10.664954911576,0.568045402248,35.509797,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,48,60000,1000,2026,2103,default,301,0.3,3.5,0.999,11.371116101548,0.024124675674,10.781921504906,0.557267617915,105.394787,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,96,20000,1000,2026,2103,default,301,0.3,3.5,0.999,10.886517243242,0.042420555051,9.869853312268,0.537768517694,35.591431,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,96,20000,1000,2026,2103,expanded,601,0.15,6,0.9995,10.911607398624,0.042577843362,9.826008218844,0.546214426367,71.273251,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,96,20000,1000,2026,2103,q995,301,0.3,3.5,0.995,10.882288358084,0.042288524648,9.961841686513,0.535790462882,35.488565,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,96,20000,1000,2026,2103,wide,301,0.15,6,0.999,10.923469219386,0.042597610405,9.813771168498,0.545888821517,35.824302,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,100,96,60000,1000,2026,2103,default,301,0.3,3.5,0.999,10.861039328084,0.024230252890,9.997586117520,0.536879955807,104.864885,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,110,48,20000,1000,2026,2103,default,301,0.3,3.5,0.999,15.529177175019,0.053158099369,15.063543696009,0.637951513514,35.927571,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,110,96,20000,1000,2026,2103,default,301,0.3,3.5,0.999,15.140926854982,0.053408832213,14.048342378537,0.601330480733,35.528248,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,70,48,20000,1000,2026,2103,default,301,0.3,3.5,0.999,3.870693729838,0.017435771438,3.625001548954,0.299357782454,36.018172,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
hybrid_sensitivity,70,96,20000,1000,2026,2103,default,301,0.3,3.5,0.999,3.720158436369,0.017470897437,3.127751073033,0.273639314248,36.025327,0.02,0.5,0.5,0.114,0.11,1,12,2a82bc91a770ffcb6d37c8dcc7dc811df5b79c57d1e66165ef51ce1962b5151c
