study,K,euler_steps,paths,low_paths,seed,low_seed,policy,price_direct,se_direct,ci_width_direct,price_low,se_low,direct_low_gap,runtime_seconds,r,delta1,delta2,v0,vp0,T,exercise_dates,benchmark_engine_sha256
policy,100,1200,60000,60000,2026,2103,all_paths,9.936948517233,0.074205677399,0.290886255404,10.004842319262,0.073751426335,0.006832459875,10.528871,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,100,1200,60000,60000,2026,2103,itm_only,9.961196508483,0.073910854728,0.289730550535,10.036764590987,0.073378001168,0.007586245532,10.292990,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,100,48,60000,60000,2026,2103,all_paths,11.508319355383,0.080013401176,0.313652532612,11.424172670105,0.079653920179,0.007311813539,0.767834,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,100,48,60000,60000,2026,2103,itm_only,11.534493936810,0.080206242792,0.314408471743,11.454284458404,0.079661188822,0.006953879281,0.772538,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,100,600,60000,60000,2026,2103,all_paths,10.047836610696,0.074383749897,0.291584299598,10.289352042859,0.074639347973,0.024036560458,5.207764,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,100,600,60000,60000,2026,2103,itm_only,10.056490780645,0.073908162945,0.289719998746,10.302643677511,0.074221688552,0.024477017106,5.149378,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,100,96,60000,60000,2026,2103,all_paths,10.955827878662,0.076212759907,0.298754018836,10.966849610606,0.076186399758,0.001006015435,1.216501,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,100,96,60000,60000,2026,2103,itm_only,10.976609918394,0.075346757633,0.295359289921,10.979916103105,0.075337104846,0.000301202715,1.210488,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,110,1200,60000,60000,2026,2103,all_paths,13.783381645287,0.079386391768,0.311194655732,13.975624505182,0.079583128199,0.013947437925,10.178317,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
policy,110,1200,60000,60000,2026,2103,itm_only,13.804240960342,0.079161822989,0.310314346118,13.963186160036,0.079167789786,0.011514229587,10.211609,0.02,0.5,0.5,0.114,0.11,1,12,9f68fa764ddd504f255f0bd81f5638093b041a929b8bc6a2d059845d2d390253
