study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
benchmark,K=70 put,70,1200,1200000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,266.306284
benchmark,K=80 put,80,1200,1200000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,263.256371
benchmark,OTM put,90,1200,1200000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,265.006055
benchmark,ATM,100,1200,1200000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,261.415016
benchmark,ITM put,110,1200,1200000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_benchmark_steps1200_paths1200000_table.csv,260.353416
step,K=70 put,70,24,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.218921
step,K=70 put,70,24,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.268163
step,K=70 put,70,48,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.257818
step,K=70 put,70,48,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.699709
step,K=70 put,70,72,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.275287
step,K=70 put,70,72,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,37.138134
step,K=70 put,70,96,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.343979
step,K=70 put,70,96,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.928627
step,K=80 put,80,24,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.209983
step,K=80 put,80,24,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,35.824832
step,K=80 put,80,48,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.253576
step,K=80 put,80,48,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.746585
step,K=80 put,80,72,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.289221
step,K=80 put,80,72,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,37.197589
step,K=80 put,80,96,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.327704
step,K=80 put,80,96,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,37.171949
step,OTM put,90,24,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.213050
step,OTM put,90,24,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,41.672553
step,OTM put,90,48,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.252680
step,OTM put,90,48,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,37.629355
step,OTM put,90,72,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.301031
step,OTM put,90,72,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,37.976961
step,OTM put,90,96,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.310224
step,OTM put,90,96,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,37.997254
step,ATM,100,24,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.219644
step,ATM,100,24,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,38.010775
step,ATM,100,48,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.254537
step,ATM,100,48,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,36.955615
step,ATM,100,72,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,0.297770
