kind,study_type,reuse_mode,source_path,destination_path,sha256,scenario_scope,settings,notes,checksum_source
local_reference_input,path sweep,mixed_saved_and_computed,C:\MDU PhD\Paper C\Experiments 26.03\Hybrid LSMC-PDE with FFT\run_gdmr_hybrid_put.py;C:\MDU PhD\Paper C\Experiments 26.03\LSMC Benchmark\run_gdmr_benchmark_put.py;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,425aefb41543d1a5431e847037cc7a1093b7ddd1a8321c44a4e7427f003bfac8,"K=70, 48 steps","48 steps; paths 250 to 60,000; direct path sweep","reuse mode: mixed_saved_and_computed; reused paths: 20,000, 60,000; computed paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 40,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,mixed_saved_and_computed,C:\MDU PhD\Paper C\Experiments 26.03\Hybrid LSMC-PDE with FFT\run_gdmr_hybrid_put.py;C:\MDU PhD\Paper C\Experiments 26.03\LSMC Benchmark\run_gdmr_benchmark_put.py;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,949556998562ac2d1b0c5465369dbc78408acb4ded2e850bea81b7904db18d2c,"K=80, 48 steps","48 steps; paths 250 to 60,000; direct path sweep","reuse mode: mixed_saved_and_computed; reused paths: 20,000, 60,000; computed paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 40,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,reused_directly,C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_path_sweep_otm_steps48_direct_ref1200_paths1200000_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,74459da58595bcefd629eb713c03ef68c7b2f1fdc72b750fece5b52b5b016ee4,"K=90, 48 steps","48 steps; paths 250 to 60,000; direct path sweep","reuse mode: reused_directly; reused paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 20,000, 40,000, 60,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,reused_directly,C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_path_sweep_atm_steps48_direct_ref1200_paths1200000_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,c39480a5edeb32b7ddba19436a01c2b620ee1168db1560d56933e4ccbe6de199,"K=100, 48 steps","48 steps; paths 250 to 60,000; direct path sweep","reuse mode: reused_directly; reused paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 20,000, 40,000, 60,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,mixed_saved_and_computed,C:\MDU PhD\Paper C\Experiments 26.03\Hybrid LSMC-PDE with FFT\run_gdmr_hybrid_put.py;C:\MDU PhD\Paper C\Experiments 26.03\LSMC Benchmark\run_gdmr_benchmark_put.py;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k110_steps48_direct_ref1200_paths1200000_table.csv,7a9701abb8d6cbcb6a2dfd5e1382bcaa8d289894207a8a49e1189aee1eb7491c,"K=110, 48 steps","48 steps; paths 250 to 60,000; direct path sweep","reuse mode: mixed_saved_and_computed; reused paths: 20,000, 60,000; computed paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 40,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,computed_locally,C:\MDU PhD\Paper C\Experiments 26.03\Hybrid LSMC-PDE with FFT\run_gdmr_hybrid_put.py;C:\MDU PhD\Paper C\Experiments 26.03\LSMC Benchmark\run_gdmr_benchmark_put.py;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,d04a08ee8521ab099ed5a0d48a32901d6686f0c2f0d5464a46ae09dbf84511fe,"K=70, 60 steps","60 steps; paths 250 to 60,000; direct path sweep","reuse mode: computed_locally; computed paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 20,000, 40,000, 60,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,computed_locally,C:\MDU PhD\Paper C\Experiments 26.03\Hybrid LSMC-PDE with FFT\run_gdmr_hybrid_put.py;C:\MDU PhD\Paper C\Experiments 26.03\LSMC Benchmark\run_gdmr_benchmark_put.py;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k80_steps60_direct_ref1200_paths1200000_table.csv,c0b9c112e1748e997462988b50633adafef72551545dc060a918153a8d12c1d9,"K=80, 60 steps","60 steps; paths 250 to 60,000; direct path sweep","reuse mode: computed_locally; computed paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 20,000, 40,000, 60,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,computed_locally,C:\MDU PhD\Paper C\Experiments 26.03\Hybrid LSMC-PDE with FFT\run_gdmr_hybrid_put.py;C:\MDU PhD\Paper C\Experiments 26.03\LSMC Benchmark\run_gdmr_benchmark_put.py;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k90_steps60_direct_ref1200_paths1200000_table.csv,545c0e7668ddd81e36908b3f8f68a3eb887eaf185847d673bbc75d277b61cd9d,"K=90, 60 steps","60 steps; paths 250 to 60,000; direct path sweep","reuse mode: computed_locally; computed paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 20,000, 40,000, 60,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,computed_locally,C:\MDU PhD\Paper C\Experiments 26.03\Hybrid LSMC-PDE with FFT\run_gdmr_hybrid_put.py;C:\MDU PhD\Paper C\Experiments 26.03\LSMC Benchmark\run_gdmr_benchmark_put.py;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k100_steps60_direct_ref1200_paths1200000_table.csv,df6ebabff34764ff09418dbfecefa2b89f957825a1566a972d3d1794619c9b79,"K=100, 60 steps","60 steps; paths 250 to 60,000; direct path sweep","reuse mode: computed_locally; computed paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 20,000, 40,000, 60,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
local_reference_input,path sweep,computed_locally,C:\MDU PhD\Paper C\Experiments 26.03\Hybrid LSMC-PDE with FFT\run_gdmr_hybrid_put.py;C:\MDU PhD\Paper C\Experiments 26.03\LSMC Benchmark\run_gdmr_benchmark_put.py;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv;C:\MDU PhD\Paper C\Experiments 26.03\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r00_t1_nex12_path_sweep_k110_steps60_direct_ref1200_paths1200000_table.csv,013a212f5b4883a1e29c74fbe2dd9092585a5474af98ed96247fdfe10a747815,"K=110, 60 steps","60 steps; paths 250 to 60,000; direct path sweep","reuse mode: computed_locally; computed paths: 250, 500, 1,000, 2,000, 5,000, 10,000, 20,000, 40,000, 60,000",C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_path_sweep_manifest.csv
