kind,study_type,reuse_mode,source_path,destination_path,sha256,scenario_scope,settings,notes,checksum_source
local_reference_input,benchmark,reused_directly,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv,7ab36b3de72961aaada754974f562ec56bf43a068979c89716a4a7bf5ffadded,benchmark references,"1200 steps; 1,200,000 paths; direct benchmark",existing local input for benchmark_main,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
local_reference_input,benchmark,reused_directly,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv,fc2a32d3572ea39cfb85c5af1052977a9431b39ec6dccbc5e6c6141f51f32964,benchmark references,"1200 steps; 1,200,000 paths; direct benchmark",existing local input for benchmark_tail,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
local_reference_input,step sweep,reused_directly,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,a92bf0bf64f6b29c5df0522f1e18f5f8fe95601804cb1c0ae16dd4e8a85c2f89,five-strike step sweep,"matched 20,000 paths; steps 24,48,72,96",existing local input for step_sweep_20k,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
local_reference_input,step sweep,reused_directly,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,cd299e9f3d30f008a40d72c49477a1c6a65e6bb4c921d887ae06ed94ac0cd0aa,five-strike step sweep,"matched 60,000 paths; steps 24,48,72,96",existing local input for step_sweep_60k,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
derived_asset,benchmark,rebased,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv;C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\plot_data\benchmark_direct_references.csv,6d8016078cc36da8facc691d15df4d6a68f92d8471335980cb245a9b7cc019d4,five benchmark strikes,1200-step direct benchmark,normalized benchmark reference csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
overleaf_export,benchmark,rebased,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\plot_data\benchmark_direct_references.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Overleaf\data\numerical\benchmark_direct_references.csv,6d8016078cc36da8facc691d15df4d6a68f92d8471335980cb245a9b7cc019d4,five benchmark strikes,1200-step direct benchmark,overleaf export for normalized benchmark reference csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
derived_asset,benchmark,rebased,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_table.csv;C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_benchmark_steps1200_paths1200000_k80_k70_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\tables\benchmark_reference_table.tex,77abc22d91fbbe97fab026a68c1b3a4277da916b7029afc54090a29fcb81129d,five benchmark strikes,1200-step direct benchmark,benchmark reference table,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
overleaf_export,benchmark,rebased,C:\MDU PhD\Paper C\Working Files\Manuscript Code\tables\benchmark_reference_table.tex,C:\MDU PhD\Paper C\Working Files\Manuscript Overleaf\tables\numerical\benchmark_reference_table.tex,77abc22d91fbbe97fab026a68c1b3a4277da916b7029afc54090a29fcb81129d,five benchmark strikes,1200-step direct benchmark,overleaf export for benchmark reference table,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
derived_asset,step sweep,rebased,C:\MDU PhD\Paper C\Working Files\Manuscript Code\reference_values\bgk_r00_t1_nex12_step_sweep_all_ref1200_direct_samepaths20k_s24487296_table.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\plot_data\step_sweep_20k_k70_benchmark.csv,a804e411dc8cd5e2f2efc516a1615f6541dbc90e12db813b2c01eedd7ed527ca,K=70 put,"matched 20,000 paths; relative error plot data",benchmark,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
overleaf_export,step sweep,rebased,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\plot_data\step_sweep_20k_k70_benchmark.csv,C:\MDU PhD\Paper C\Working Files\Manuscript Overleaf\data\numerical\step_sweep_20k_k70_benchmark.csv,a804e411dc8cd5e2f2efc516a1615f6541dbc90e12db813b2c01eedd7ed527ca,K=70 put,"matched 20,000 paths; relative error plot data",overleaf export for benchmark,C:\MDU PhD\Paper C\Working Files\Manuscript Code\outputs\reused_step_sweep_manifest.csv
