scenario,K,euler_steps,method,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct
K=70 put,70.0,24,benchmark,0.360036100001,3.363539,4.26393827560287,0.0474321233878457,0.185933923680355,0.267694019781804
K=70 put,70.0,24,hybrid,105.1922461,3.363539,4.18899865063415,0.00986292058363474,0.0386626486878482,0.245414026902661
K=70 put,70.0,48,benchmark,0.4750398,3.363539,4.0509132596538,0.0456192787474565,0.178827572690029,0.204360425032623
K=70 put,70.0,48,hybrid,106.1358362,3.363539,3.95163833204378,0.00988395014359776,0.0387450845629032,0.174845403024547
K=70 put,70.0,72,benchmark,0.5964296,3.363539,3.89659903960111,0.0447661445538835,0.175483286651223,0.15848189647901
K=70 put,70.0,72,hybrid,106.208082,3.363539,3.82727635998169,0.0099372769870796,0.038954125789352,0.137871854609592
K=70 put,70.0,96,benchmark,0.707499,3.363539,3.77092448897578,0.0441727836602899,0.173157311948336,0.121118110708922
K=70 put,70.0,96,hybrid,106.189574,3.363539,3.71505050146282,0.00988093890920016,0.0387332805240646,0.104506444391701
K=80 put,80.0,24,benchmark,0.357682200001,4.961218,6.18412597247884,0.0584413830497823,0.229090221555147,0.246493496653208
K=80 put,80.0,24,hybrid,104.2342639,4.961218,6.13110939218703,0.0137395505697779,0.0538590382335295,0.235807294133623
K=80 put,80.0,48,benchmark,0.470729299999,4.961218,5.90952531927417,0.0568072392284635,0.222684377775577,0.191144053592117
K=80 put,80.0,48,hybrid,105.9166178,4.961218,5.80893881156632,0.0138426472895237,0.0542631773749327,0.170869494460094
K=80 put,80.0,72,benchmark,0.604335700002,4.961218,5.72982584903766,0.0558249322992,0.218833734612864,0.154923216241991
K=80 put,80.0,72,hybrid,106.6742928,4.961218,5.6368617411368,0.0138892830621533,0.0544459896036409,0.136185053980051
K=80 put,80.0,96,benchmark,0.723237999999,4.961218,5.53534761788235,0.0548633583079254,0.215064364567067,0.115723521498623
K=80 put,80.0,96,hybrid,106.7093471,4.961218,5.48402317944843,0.0138369531507272,0.0542408563508507,0.105378392856034
OTM put,90.0,24,benchmark,0.3546467,7.082115,8.71668351542906,0.0696904837231987,0.273186696194939,0.23080231194058
OTM put,90.0,24,hybrid,104.3883467,7.082115,8.61976457357637,0.0183745181656568,0.0720281112093746,0.21711728397186
OTM put,90.0,48,benchmark,0.4806651,7.082115,8.32867235330524,0.0681346734869775,0.267087920068952,0.176014842078284
OTM put,90.0,48,hybrid,105.9909891,7.082115,8.21361454768604,0.0185565810374614,0.0727417976668489,0.159768592812464
OTM put,90.0,72,benchmark,0.596012,7.082115,8.10210645742461,0.067035894536574,0.26278070658337,0.144023566042716
OTM put,90.0,72,hybrid,106.2424144,7.082115,7.98690718762131,0.0186137214318174,0.0729657880127244,0.127757341926997
OTM put,90.0,96,benchmark,0.7269722,7.082115,7.86847728075709,0.0658318241001594,0.258060750472625,0.1110349494123
OTM put,90.0,96,hybrid,105.8294501,7.082115,7.79248624493859,0.0185837160844291,0.0728481670509622,0.100304957620511
ATM,100.0,24,benchmark,0.358223200001,9.921221,12.0079932189554,0.0809576542022888,0.317354004472972,0.210334213798422
ATM,100.0,24,hybrid,103.6197607,9.921221,11.8528907233841,0.0237855438036402,0.0932393317102696,0.194700805816551
ATM,100.0,48,benchmark,0.4767687,9.921221,11.508319355383,0.080013401176462,0.313652532611731,0.159970063703147
ATM,100.0,48,hybrid,105.7211731,9.921221,11.3711161015483,0.0241246756741152,0.0945687286425316,0.146140792705682
ATM,100.0,72,benchmark,0.600742999999,9.921221,11.1870713263103,0.0781131292155367,0.306203466524904,0.127590175272812
ATM,100.0,72,hybrid,106.0034987,9.921221,11.0896871412472,0.0242151815674031,0.09492351174422,0.117774429301308
ATM,100.0,96,benchmark,0.7232805,9.921221,10.9558278786618,0.0762127599070827,0.298754018835764,0.104282212709687
ATM,100.0,96,hybrid,106.60132,9.921221,10.861039328084,0.0242302528898287,0.0949825913281285,0.0947280912383639
ITM put,110.0,24,benchmark,0.3623563,13.857272,16.2378416191547,0.0895016577443676,0.350846498357921,0.171792082825157
ITM put,110.0,24,hybrid,104.0630644,13.857272,16.2218494843544,0.0297892521790319,0.116773868541805,0.170638021996998
ITM put,110.0,48,benchmark,0.4792158,13.857272,15.6133089245542,0.0878078021198454,0.344206584309794,0.126723133135745
ITM put,110.0,48,hybrid,105.3395379,13.857272,15.686226859721,0.0303988243820786,0.119163391577748,0.131985203128079
ITM put,110.0,72,benchmark,0.5993554,13.857272,15.3545127839286,0.0872106126540799,0.341865601603993,0.108047297038594
ITM put,110.0,72,hybrid,107.098956,13.857272,15.3612176029134,0.0305247779591566,0.119657129599894,0.108531145445756
ITM put,110.0,96,benchmark,0.7233459,13.857272,15.0838973194248,0.0855245905831095,0.335256395085789,0.0885185279920039
ITM put,110.0,96,hybrid,108.3627218,13.857272,15.1142750282047,0.0305768908324918,0.119861412063368,0.0907107133499771
